NAICS_Industry,NAICS_Industry_Count
Other Commercial Equipment Merchant Wholesalers,18189
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",19541
Ophthalmic Goods Merchant Wholesalers,428
Other Professional Equipment and Supplies Merchant Wholesalers,3679
Metal Service Centers and Other Metal Merchant Wholesalers,12990
Coal and Other Mineral and Ore Merchant Wholesalers,943
"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",21295
"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",4312
Other Electronic Parts and Equipment Merchant Wholesalers,15573
Hardware Merchant Wholesalers,6959
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,10333
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,5892
Refrigeration Equipment and Supplies Merchant Wholesalers,2319
Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,9112
Farm and Garden Machinery and Equipment Merchant Wholesalers,9411
Industrial Machinery and Equipment Merchant Wholesalers,39915
Industrial Supplies Merchant Wholesalers,18908
Service Establishment Equipment and Supplies Merchant Wholesalers,17334
Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,5668
Sporting and Recreational Goods and Supplies Merchant Wholesalers,9269
Toy and Hobby Goods and Supplies Merchant Wholesalers,5703
Recyclable Material Merchant Wholesalers,7236
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",12191
Other Miscellaneous Durable Goods Merchant Wholesalers,48426
Printing and Writing Paper Merchant Wholesalers,992
Stationery and Office Supplies Merchant Wholesalers,6792
Industrial and Personal Service Paper Merchant Wholesalers,4804
Drugs and Druggists' Sundries Merchant Wholesalers,13984
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",4411
Men's and Boys' Clothing and Furnishings Merchant Wholesalers,4573
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",8790
Footwear Merchant Wholesalers,5548
General Line Grocery Merchant Wholesalers,10766
Packaged Frozen Food Merchant Wholesalers,1368
Dairy Product (except Dried or Canned) Merchant Wholesalers,3390
Poultry and Poultry Product Merchant Wholesalers,1571
Confectionery Merchant Wholesalers,2717
Fish and Seafood Merchant Wholesalers,5777
Meat and Meat Product Merchant Wholesalers,3152
Fresh Fruit and Vegetable Merchant Wholesalers,6711
Other Grocery and Related Products Merchant Wholesalers,23499
Grain and Field Bean Merchant Wholesalers,7599
Livestock Merchant Wholesalers,10075
Other Farm Product Raw Material Merchant Wholesalers,5224
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,2093
Other Chemical and Allied Products Merchant Wholesalers,10795
Petroleum Bulk Stations and Terminals,2273
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),11981
Beer and Ale Merchant Wholesalers,2853
Wine and Distilled Alcoholic Beverage Merchant Wholesalers,8295
Farm Supplies Merchant Wholesalers,15463
"Book, Periodical, and Newspaper Merchant Wholesalers",9392
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",6029
Tobacco and Tobacco Product Merchant Wholesalers,4996
"Paint, Varnish, and Supplies Merchant Wholesalers",4149
Other Miscellaneous Nondurable Goods Merchant Wholesalers,63076
Wholesale Trade Agents and Brokers,816
New Car Dealers,62582
Used Car Dealers,35475
Recreational Vehicle Dealers,4151
Boat Dealers,11588
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",28599
Automotive Parts and Accessories Stores,43433
Tire Dealers,31198
Furniture Stores,44322
Floor Covering Stores,46724
Window Treatment Stores,6282
All Other Home Furnishings Stores,19144
Household Appliance Stores,11747
Electronics Stores,68018
Home Centers,29060
Paint and Wallpaper Stores,14082
Hardware Stores,22063
Other Building Material Dealers,25562
Outdoor Power Equipment Stores,3977
"Nursery, Garden Center, and Farm Supply Stores",13961
Supermarkets and Other Grocery (except Convenience) Stores,90849
Convenience Stores,58300
Meat Markets,8346
Fish and Seafood Markets,3059
Fruit and Vegetable Markets,7025
Baked Goods Stores,37072
Confectionery and Nut Stores,9979
All Other Specialty Food Stores,25502
"Beer, Wine, and Liquor Stores",33759
Pharmacies and Drug Stores,54268
"Cosmetics, Beauty Supplies, and Perfume Stores",19704
Optical Goods Stores,17985
Food (Health) Supplement Stores,16847
All Other Health and Personal Care Stores,14701
Gasoline Stations with Convenience Stores,1175
Other Gasoline Stations,69343
Men's Clothing Stores,11510
Women's Clothing Stores,87506
Children's and Infants' Clothing Stores,7245
Family Clothing Stores,23245
Clothing Accessories Stores,18200
Other Clothing Stores,19692
Shoe Stores,19891
Jewelry Stores,40416
Luggage and Leather Goods Stores,1749
Sporting Goods Stores,53191
"Hobby, Toy, and Game Stores",25986
"Sewing, Needlework, and Piece Goods Stores",11756
Musical Instrument and Supplies Stores,9568
Book Stores,14230
News Dealers and Newsstands,905
Department Stores,20538
Warehouse Clubs and Supercenters,1818
All Other General Merchandise Stores,41914
Florists,28264
Office Supplies and Stationery Stores,5836
"Gift, Novelty, and Souvenir Stores",54654
Used Merchandise Stores,38803
Pet and Pet Supplies Stores,18356
Art Dealers,3781
Manufactured (Mobile) Home Dealers,3859
Tobacco Stores,18457
All Other Miscellaneous Store Retailers (except Tobacco Stores),148980
Electronic Shopping and Mail-Order Houses,24088
Vending Machine Operators,9494
Fuel Dealers,13560
Other Direct Selling Establishments,26688
Scheduled Passenger Air Transportation,1944
Scheduled Freight Air Transportation,516
Nonscheduled Chartered Passenger Air Transportation,198
Nonscheduled Chartered Freight Air Transportation,100
Other Nonscheduled Air Transportation,2477
Line-Haul Railroads,2406
Short Line Railroads,40
Deep Sea Freight Transportation,735
Deep Sea Passenger Transportation,186
Coastal and Great Lakes Freight Transportation,428
Inland Water Freight Transportation,998
Inland Water Passenger Transportation,427
"General Freight Trucking, Local",150734
"General Freight Trucking, Long-Distance, Truckload",41242
"General Freight Trucking, Long-Distance, Less Than Truckload",611
Used Household and Office Goods Moving,8770
"Specialized Freight (except Used Goods) Trucking, Local",11002
"Specialized Freight (except Used Goods) Trucking, Long-Distance",4411
Mixed Mode Transit Systems,5935
Commuter Rail Systems,186
Bus and Other Motor Vehicle Transit Systems,1274
Other Urban Transit Systems,96
Interurban and Rural Bus Transportation,1072
Taxi Service,10816
Limousine Service,17266
School and Employee Bus Transportation,2455
Charter Bus Industry,3876
All Other Transit and Ground Passenger Transportation,5193
Pipeline Transportation of Crude Oil,772
Pipeline Transportation of Natural Gas,1776
Pipeline Transportation of Refined Petroleum Products,342
All Other Pipeline Transportation,195
"Scenic and Sightseeing Transportation, Land",359
"Scenic and Sightseeing Transportation, Water",500
"Scenic and Sightseeing Transportation, Other",356
Air Traffic Control,981
Other Airport Operations,13420
Other Support Activities for Air Transportation,3962
Support Activities for Rail Transportation,17276
Port and Harbor Operations,220
Marine Cargo Handling,978
Navigational Services to Shipping,1592
Other Support Activities for Water Transportation,1388
Motor Vehicle Towing,23536
Other Support Activities for Road Transportation,6007
Freight Transportation Arrangement,41797
Packing and Crating,1424
All Other Support Activities for Transportation,127404
Postal Service,21455
Couriers and Express Delivery Services,7464
Local Messengers and Local Delivery,3507
General Warehousing and Storage,24328
Refrigerated Warehousing and Storage,1343
Farm Product Warehousing and Storage,895
Other Warehousing and Storage,9858
Newspaper Publishers,11723
Periodical Publishers,5219
Book Publishers,5525
Directory and Mailing List Publishers,561
Greeting Card Publishers,342
All Other Publishers,21502
Software Publishers,23535
Motion Picture and Video Production,27868
Motion Picture and Video Distribution,31725
Motion Picture Theaters (except Drive-Ins),6234
Drive-In Motion Picture Theaters,122
Teleproduction and Other Postproduction Services,3764
Other Motion Picture and Video Industries,7319
Music Publishers,709
Sound Recording Studios,5008
Record Production and Distribution,7142
Other Sound Recording Industries,328
Radio Networks,9951
Radio Stations,3201
Television Broadcasting,4374
Cable and Other Subscription Programming,7412
Wired Telecommunications Carriers,15426
Wireless Telecommunications Carriers (except Satellite),31567
Satellite Telecommunications,190
Telecommunications Resellers,18459
All Other Telecommunications,54277
"Data Processing, Hosting, and Related Services",21148
News Syndicates,871
Libraries and Archives,26022
Internet Publishing and Broadcasting and Web Search Portals,1519
All Other Information Services,5529
Monetary Authorities-Central Bank,39
Commercial Banking,80383
Savings Institutions,6816
Credit Unions,15801
Credit Card Issuing,8
Sales Financing,2397
Consumer Lending,16252
Real Estate Credit,6409
International Trade Financing,1685
Secondary Market Financing,5
All Other Nondepository Credit Intermediation,15970
Mortgage and Nonmortgage Loan Brokers,12899
"Financial Transactions Processing, Reserve, and Clearinghouse Activities",28854
Other Activities Related to Credit Intermediation,27486
Investment Banking and Securities Dealing,2658
Securities Brokerage,33412
Commodity Contracts Dealing,2947
Commodity Contracts Brokerage,688
Securities and Commodity Exchanges,364
Miscellaneous Intermediation,141247
Portfolio Management,10779
Investment Advice,67670
"Trust, Fiduciary, and Custody Activities",19653
Miscellaneous Financial Investment Activities,2236
Direct Life Insurance Carriers,7413
Direct Health and Medical Insurance Carriers,5048
Direct Property and Casualty Insurance Carriers,12618
Direct Title Insurance Carriers,5149
"Other Direct Insurance (except Life, Health, and Medical) Carriers",2986
Reinsurance Carriers,129
Insurance Agencies and Brokerages,211579
Claims Adjusting,4226
Third Party Administration of Insurance and Pension Funds,844
All Other Insurance Related Activities,6383
Pension Funds,826
Health and Welfare Funds,812
Other Insurance Funds,74
Open-End Investment Funds,13539
"Trusts, Estates, and Agency Accounts",8171
Other Financial Vehicles,6250
Lessors of Residential Buildings and Dwellings,128312
Lessors of Nonresidential Buildings (except Miniwarehouses),30490
Lessors of Miniwarehouses and Self-Storage Units,21535
Lessors of Other Real Estate Property,26474
Offices of Real Estate Agents and Brokers,360715
Residential Property Managers,5967
Nonresidential Property Managers,147190
Offices of Real Estate Appraisers,21755
Other Activities Related to Real Estate,5533
Passenger Car Rental,14945
Passenger Car Leasing,875
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",20942
Consumer Electronics and Appliances Rental,6010
Formal Wear and Costume Rental,1815
Video Tape and Disc Rental,4796
Home Health Equipment Rental,2279
Recreational Goods Rental,2026
All Other Consumer Goods Rental,14747
General Rental Centers,841
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",1246
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",5483
Office Machinery and Equipment Rental and Leasing,606
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,40832
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),3112
Offices of Lawyers,335523
Offices of Notaries,6439
Title Abstract and Settlement Offices,11476
All Other Legal Services,5389
Offices of Certified Public Accountants,73111
Tax Preparation Services,63372
Payroll Services,3064
Other Accounting Services,45887
Architectural Services,38992
Landscape Architectural Services,84144
Engineering Services,96861
Drafting Services,1657
Building Inspection Services,8628
Surveying and Mapping (except Geophysical) Services,13081
Testing Laboratories,14405
Interior Design Services,35939
Industrial Design Services,1798
Graphic Design Services,35925
Other Specialized Design Services,1804
Custom Computer Programming Services,112108
Computer Systems Design Services,90349
Computer Facilities Management Services,1158
Other Computer Related Services,4999
Administrative Management and General Management Consulting Services,186335
Human Resources Consulting Services,14234
Marketing Consulting Services,61450
"Process, Physical Distribution, and Logistics Consulting Services",3258
Other Management Consulting Services,339242
Environmental Consulting Services,23853
Other Scientific and Technical Consulting Services,43187
Research and Development in Biotechnology (except Nanobiotechnology),4842
"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",23521
Research and Development in the Social Sciences and Humanities,15522
Advertising Agencies,23722
Public Relations Agencies,15970
Media Buying Agencies,784
Media Representatives,3542
Outdoor Advertising,2506
Direct Mail Advertising,4844
Advertising Material Distribution Services,1029
Other Services Related to Advertising,11088
Marketing Research and Public Opinion Polling,12850
"Photography Studios, Portrait",87013
Commercial Photography,15969
Translation and Interpretation Services,6769
Veterinary Services,46855
"All Other Professional, Scientific, and Technical Services",259555
Offices of Bank Holding Companies,2128
Offices of Other Holding Companies,68663
Office Administrative Services,152645
Facilities Support Services,4786
Employment Placement Agencies,30618
Executive Search Services,9790
Temporary Help Services,20402
Professional Employer Organizations,583
Document Preparation Services,4202
Telephone Answering Services,5726
Telemarketing Bureaus and Other Contact Centers,1282
Private Mail Centers,3839
Other Business Service Centers (including Copy Shops),4685
Collection Agencies,4858
Credit Bureaus,1254
Repossession Services,2037
Court Reporting and Stenotype Services,6935
All Other Business Support Services,164036
Travel Agencies,45331
Tour Operators,10434
Convention and Visitors Bureaus,1287
All Other Travel Arrangement and Reservation Services,3461
Investigation Services,10103
Security Guards and Patrol Services,17498
Armored Car Services,2918
Security Systems Services (except Locksmiths),15887
Locksmiths,11271
Exterminating and Pest Control Services,28647
Janitorial Services,104501
Landscaping Services,138184
Carpet and Upholstery Cleaning Services,15734
Other Services to Buildings and Dwellings,108930
Packaging and Labeling Services,3207
Convention and Trade Show Organizers,3662
All Other Support Services,664116
Solid Waste Collection,1831
Hazardous Waste Collection,256
Other Waste Collection,269
Hazardous Waste Treatment and Disposal,3835
Solid Waste Landfill,6234
Solid Waste Combustors and Incinerators,37
Other Nonhazardous Waste Treatment and Disposal,3876
Remediation Services,2931
Materials Recovery Facilities,12257
Septic Tank and Related Services,12355
All Other Miscellaneous Waste Management Services,1220
Elementary and Secondary Schools,212470
Junior Colleges,4974
"Colleges, Universities, and Professional Schools",37172
Business and Secretarial Schools,891
Computer Training,3947
Professional and Management Development Training,367
Cosmetology and Barber Schools,2997
Flight Training,1233
Apprenticeship Training,437
Other Technical and Trade Schools,8988
Fine Arts Schools,28242
Sports and Recreation Instruction,45528
Language Schools,2434
Exam Preparation and Tutoring,8665
Automobile Driving Schools,5518
All Other Miscellaneous Schools and Instruction,49959
Educational Support Services,10368
Offices of Physicians (except Mental Health Specialists),464393
"Offices of Physicians, Mental Health Specialists",20414
Offices of Dentists,209799
Offices of Chiropractors,67866
Offices of Optometrists,33757
Offices of Mental Health Practitioners (except Physicians),36464
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",37996
Offices of Podiatrists,15098
Offices of All Other Miscellaneous Health Practitioners,120864
Family Planning Centers,5143
Outpatient Mental Health and Substance Abuse Centers,12058
HMO Medical Centers,1184
Kidney Dialysis Centers,10150
Freestanding Ambulatory Surgical and Emergency Centers,3473
All Other Outpatient Care Centers,40519
Medical Laboratories,15488
Diagnostic Imaging Centers,3107
Home Health Care Services,51711
Ambulance Services,7006
Blood and Organ Banks,9590
All Other Miscellaneous Ambulatory Health Care Services,136279
General Medical and Surgical Hospitals,33201
Psychiatric and Substance Abuse Hospitals,4438
Specialty (except Psychiatric and Substance Abuse) Hospitals,3000
Nursing Care Facilities (Skilled Nursing Facilities),35740
Residential Intellectual and Developmental Disability Facilities,2059
Residential Mental Health and Substance Abuse Facilities,6019
Continuing Care Retirement Communities,12454
Assisted Living Facilities for the Elderly,8700
Other Residential Care Facilities,16070
Child and Youth Services,11019
Services for the Elderly and Persons with Disabilities,21165
Other Individual and Family Services,156841
Community Food Services,1144
Temporary Shelters,1933
Other Community Housing Services,251
Emergency and Other Relief Services,3657
Vocational Rehabilitation Services,12905
Child Day Care Services,112960
Theater Companies and Dinner Theaters,3651
Dance Companies,184
Musical Groups and Artists,9383
Other Performing Arts Companies,19924
Sports Teams and Clubs,6093
Racetracks,4318
Other Spectator Sports,14990
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",8419
"Promoters of Performing Arts, Sports, and Similar Events without Facilities",1884
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",9319
"Independent Artists, Writers, and Performers",51528
Museums,25258
Historical Sites,3363
Zoos and Botanical Gardens,1860
Nature Parks and Other Similar Institutions,10361
Amusement and Theme Parks,2420
Amusement Arcades,2339
Casinos (except Casino Hotels),621
Other Gambling Industries,527
Golf Courses and Country Clubs,15799
Skiing Facilities,328
Marinas,7408
Fitness and Recreational Sports Centers,137471
Bowling Centers,5095
All Other Amusement and Recreation Industries,26663
Hotels (except Casino Hotels) and Motels,94066
Casino Hotels,1836
Bed-and-Breakfast Inns,18113
All Other Traveler Accommodation,5143
RV (Recreational Vehicle) Parks and Campgrounds,11012
Recreational and Vacation Camps (except Campgrounds),4586
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",2521
Food Service Contractors,1822
Caterers,30756
Mobile Food Services,5158
Drinking Places (Alcoholic Beverages),74804
Full-Service Restaurants,367134
Limited-Service Restaurants,286844
"Cafeterias, Grill Buffets, and Buffets",2652
Snack and Nonalcoholic Beverage Bars,1069
General Automotive Repair,153407
Automotive Exhaust System Repair,6011
Automotive Transmission Repair,7610
Other Automotive Mechanical and Electrical Repair and Maintenance,29453
"Automotive Body, Paint, and Interior Repair and Maintenance",50144
Automotive Glass Replacement Shops,6519
Automotive Oil Change and Lubrication Shops,6796
Car Washes,31851
All Other Automotive Repair and Maintenance,16153
Consumer Electronics Repair and Maintenance,5384
Computer and Office Machine Repair and Maintenance,13883
Communication Equipment Repair and Maintenance,1205
Other Electronic and Precision Equipment Repair and Maintenance,15731
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,44269
Home and Garden Equipment Repair and Maintenance,9485
Appliance Repair and Maintenance,72097
Reupholstery and Furniture Repair,11812
Footwear and Leather Goods Repair,3311
Other Personal and Household Goods Repair and Maintenance,33610
Barber Shops,36310
Beauty Salons,238435
Nail Salons,60662
Diet and Weight Reducing Centers,2762
Other Personal Care Services,53476
Funeral Homes and Funeral Services,22576
Cemeteries and Crematories,12676
Coin-Operated Laundries and Drycleaners,12976
Drycleaning and Laundry Services (except Coin-Operated),24146
Linen Supply,1908
Industrial Launderers,1088
Pet Care (except Veterinary) Services,46501
Photofinishing Laboratories (except One-Hour),4397
Parking Lots and Garages,6065
All Other Personal Services,94902
Religious Organizations,364829
Grantmaking Foundations,7647
Voluntary Health Organizations,1134
Other Grantmaking and Giving Services,453
"Environment, Conservation and Wildlife Organizations",4028
Other Social Advocacy Organizations,51686
Civic and Social Organizations,187094
Business Associations,34735
Professional Organizations,35018
Labor Unions and Similar Labor Organizations,16160
Political Organizations,3282
"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",71759
Executive Offices,42818
Legislative Bodies,9541
Public Finance Activities,7623
"Executive and Legislative Offices, Combined",352
American Indian and Alaska Native Tribal Governments,1092
Other General Government Support,16180
Courts,15745
Police Protection,19846
Legal Counsel and Prosecution,4148
Correctional Institutions,5312
Parole Offices and Probation Offices,2027
Fire Protection,35599
"Other Justice, Public Order, and Safety Activities",3234
Administration of Education Programs,1949
Administration of Public Health Programs,8365
"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",9418
Administration of Veterans' Affairs,1884
Administration of Air and Water Resource and Solid Waste Management Programs,6512
Administration of Conservation Programs,15149
Administration of Housing Programs,6217
Administration of Urban Planning and Community and Rural Development,2492
Administration of General Economic Programs,2605
Regulation and Administration of Transportation Programs,11018
"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",1536
Regulation of Agricultural Marketing and Commodities,6337
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",3714
Space Research and Technology,145
National Security,15081
International Affairs,2155