State,NAICS_Business_count
AK,46924
AL,212081
AR,134198
AZ,353994
CA,2037507
CO,365293
CT,226958
DC,52431
DE,56077
FL,1573166
GA,566009
HI,59690
IA,192535
ID,98142
IL,586515
IN,315273
KS,147424
KY,202055
LA,246795
MA,380335
MD,321535
ME,74610
MI,484429
MN,325678
MO,305177
MS,118911
MT,76328
NC,519015
ND,54842
NE,115596
NH,80956
NJ,496841
NM,95664
NV,126124
NY,977189
OH,564167
OK,197211
OR,266477
PA,659008
RI,57220
SC,230972
SD,57000
TN,300833
TX,1506478
UT,147274
VA,460647
VT,44915
WA,386392
WI,280496
WV,68938
WY,38134